Date,Open,High,Low,Close,Adj Close,Volume
2017-07-12,38.580002,39.622501,38.302502,39.375000,38.925461,1072800
2017-07-13,39.625000,40.000000,37.500000,37.750000,37.319016,1697600
2017-07-14,37.687500,39.599998,37.687500,39.500000,39.049034,817600
2017-07-17,39.500000,41.462502,39.500000,41.255001,40.784000,1163200
2017-07-18,41.876301,43.623699,41.876301,43.000000,42.509075,1598400
2017-07-19,43.875000,44.424999,42.375000,43.137501,42.645008,1932000
2017-07-20,43.137501,43.875000,42.875000,43.547501,43.050327,901600
2017-07-21,43.549999,44.026199,41.876301,41.887501,41.409279,1176000
2017-07-24,42.645000,43.037498,41.788700,41.875000,41.396919,672800
2017-07-25,42.500000,43.648800,41.875000,43.301300,42.806942,1062400
2017-07-26,43.375000,43.650002,42.562500,42.968800,42.478233,791200
2017-07-27,43.500000,43.562500,42.516300,43.502499,43.005836,727200
2017-07-28,43.138699,45.828800,43.000000,45.828800,45.305580,1320000
2017-07-31,46.875000,47.685001,45.062500,45.860001,45.336426,1775200
2017-08-01,48.123699,48.130001,45.860001,46.293800,45.765274,1952000
2017-08-02,45.888699,47.060001,45.263699,46.485001,45.954292,1936800
2017-08-03,47.125000,47.125000,45.812500,46.555000,46.023491,1414400
2017-08-04,46.748699,49.125000,46.126301,49.125000,48.564148,2224800
2017-08-07,49.250000,50.867500,49.125000,50.000000,49.429157,2194400
2017-08-08,50.038700,50.372501,48.208801,49.297501,48.734680,2793600
2017-08-09,48.751301,51.497501,48.626301,50.683800,50.105152,1661600
2017-08-10,50.683800,51.437500,49.251301,49.571301,49.005356,1199200
2017-08-11,49.500000,51.746300,49.500000,51.746300,51.155518,1368800
2017-08-14,51.875000,55.937500,51.500000,55.707500,55.071499,1757600
2017-08-15,56.736301,58.046200,56.064999,56.782501,56.134228,1544000
2017-08-16,57.812500,61.336300,57.375000,61.250000,60.550724,2085600
2017-08-17,63.500000,63.621300,55.250000,56.375000,55.731380,3073600
2017-08-18,54.125000,58.623699,53.125000,57.250000,56.596386,2188800
2017-08-21,57.762501,60.000000,57.762501,59.125000,58.449982,1590400
2017-08-22,59.570000,59.883801,57.750000,58.496300,57.828457,1000800
2017-08-23,57.500000,58.110001,56.250000,57.886200,57.225323,995200
2017-08-24,57.641300,60.125000,57.426300,59.637501,58.956631,1247200
2017-08-25,60.000000,60.430000,58.937500,59.846199,59.162949,1160800
2017-08-28,60.000000,62.687500,60.000000,61.748699,61.043724,1138400
2017-08-29,61.375000,62.312500,60.751301,62.000000,61.292156,568000
2017-08-30,62.250000,64.998703,61.875000,64.375000,63.640045,1368800
2017-08-31,64.812500,71.250000,64.812500,71.000000,70.189407,2719200
2017-09-01,72.375000,75.498703,70.177498,70.517502,69.712418,2716800
2017-09-04,70.750000,77.750000,69.375000,77.723701,76.836342,2110400
2017-09-05,79.760002,86.400002,78.559998,82.000000,81.063828,2979700
2017-09-06,86.699997,86.959999,83.500000,85.410004,84.434898,1446200
2017-09-07,85.410004,85.410004,85.410004,85.410004,84.434898,0
2017-09-08,86.260002,87.300003,78.000000,78.919998,78.018982,2224100
2017-09-11,81.709999,82.510002,77.000000,78.300003,77.406067,1796200
2017-09-12,69.000000,72.449997,63.619999,69.019997,68.232002,5369600
2017-09-13,70.279999,72.949997,66.000000,72.300003,71.474564,2806500
2017-09-14,73.110001,82.389999,72.699997,82.000000,81.063828,4682500
2017-09-15,84.300003,87.000000,82.809998,83.190002,82.240234,3505700
2017-09-18,85.360001,85.360001,77.160004,81.250000,80.322380,2291800
2017-09-19,80.500000,83.260002,78.519997,78.849998,77.949783,1806800
2017-09-20,80.650002,80.910004,74.570000,75.500000,74.638031,2818900
2017-09-21,75.500000,76.500000,72.500000,76.129997,75.260834,1509900
2017-09-22,77.099998,77.750000,74.580002,75.050003,74.193176,940200
2017-09-25,73.860001,75.199997,71.330002,71.800003,70.980270,1674200
2017-09-26,72.099998,75.339996,68.519997,73.989998,73.145271,2628400
2017-09-27,73.849998,74.180000,68.139999,68.309998,67.530113,2822100
2017-09-28,72.000000,73.000000,69.120003,70.750000,69.942261,4696300
